2012-05-26 12:16:28, 1 of 2090, 0%
2012-05-26 12:16:28, 2 of 2090, 0.1%
2012-05-26 12:16:282012-05-26 12:16:28, , 43 of  of 20902090, , 0.20.1%
%
2012-05-26 12:16:29, 5 of 2090, 0.2%
2012-05-26 12:16:40, 8 of 2090, 0.4%
2012-05-26 12:16:40, 9 of 2090, 0.4%
2012-05-26 12:16:41, 6 of 2090, 0.3%
2012-05-26 12:16:42, 7 of 2090, 0.3%
2012-05-26 12:16:52, 12 of 2090, 0.6%
2012-05-26 12:16:52, 13 of 2090, 0.6%
2012-05-26 12:16:53, 10 of 2090, 0.5%
2012-05-26 12:16:55, 11 of 2090, 0.5%
2012-05-26 12:17:03, 16 of 2090, 0.8%
2012-05-26 12:17:03, 17 of 2090, 0.8%
2012-05-26 12:17:06, 14 of 2090, 0.7%
2012-05-26 12:17:08, 15 of 2090, 0.7%
2012-05-26 12:17:14, 20 of 2090, 1%
2012-05-26 12:17:15, 21 of 2090, 1%
2012-05-26 12:17:18, 18 of 2090, 0.9%
2012-05-26 12:17:19, 19 of 2090, 0.9%
2012-05-26 12:17:26, 24 of 2090, 1.1%
2012-05-26 12:17:27, 25 of 2090, 1.2%
2012-05-26 12:17:30, 22 of 2090, 1.1%
2012-05-26 12:17:32, 23 of 2090, 1.1%
2012-05-26 12:17:37, 28 of 2090, 1.3%
2012-05-26 12:17:39, 29 of 2090, 1.4%
2012-05-26 12:17:42, 26 of 2090, 1.2%
2012-05-26 12:17:45, 27 of 2090, 1.3%
2012-05-26 12:17:49, 32 of 2090, 1.5%
2012-05-26 12:17:50, 33 of 2090, 1.6%
2012-05-26 12:17:54, 30 of 2090, 1.4%
2012-05-26 12:17:58, 31 of 2090, 1.5%
2012-05-26 12:18:00, 36 of 2090, 1.7%
2012-05-26 12:18:02, 37 of 2090, 1.8%
2012-05-26 12:18:06, 34 of 2090, 1.6%
2012-05-26 12:18:10, 35 of 2090, 1.7%
2012-05-26 12:18:12, 40 of 2090, 1.9%
2012-05-26 12:18:13, 41 of 2090, 2%
2012-05-26 12:18:19, 38 of 2090, 1.8%
2012-05-26 12:18:22, 39 of 2090, 1.9%
2012-05-26 12:18:23, 44 of 2090, 2.1%
2012-05-26 12:18:24, 45 of 2090, 2.2%
2012-05-26 12:18:30, 42 of 2090, 2%
2012-05-26 12:18:35, 43 of 2090, 2.1%
2012-05-26 12:18:35, 48 of 2090, 2.3%
2012-05-26 12:18:36, 49 of 2090, 2.3%
2012-05-26 12:18:36, 53 of 2090, 2.5%
2012-05-26 12:18:43, 46 of 2090, 2.2%
2012-05-26 12:18:47, 52 of 2090, 2.5%
2012-05-26 12:18:47, 47 of 2090, 2.2%
2012-05-26 12:18:48, 57 of 2090, 2.7%
2012-05-26 12:18:55, 50 of 2090, 2.4%
2012-05-26 12:18:58, 56 of 2090, 2.7%
2012-05-26 12:19:00, 61 of 2090, 2.9%
2012-05-26 12:19:00, 51 of 2090, 2.4%
2012-05-26 12:19:07, 54 of 2090, 2.6%
2012-05-26 12:19:10, 60 of 2090, 2.9%
2012-05-26 12:19:10, 64 of 2090, 3.1%
2012-05-26 12:19:12, 65 of 2090, 3.1%
