2012-05-17 20:13:50, 1 of 170, 0.6%
2012-05-17 20:13:50, 2 of 170, 1.2%
2012-05-17 20:13:52, 3 of 170, 1.8%
2012-05-17 20:14:07, 4 of 170, 2.4%
2012-05-17 20:14:12, 5 of 170, 2.9%
2012-05-17 20:14:25, 6 of 170, 3.5%
2012-05-17 20:14:30, 7 of 170, 4.1%
2012-05-17 20:14:43, 8 of 170, 4.7%
2012-05-17 20:14:51, 9 of 170, 5.3%
2012-05-17 20:14:59, 10 of 170, 5.9%
2012-05-17 20:15:10, 11 of 170, 6.5%
2012-05-17 20:15:15, 12 of 170, 7.1%
2012-05-17 20:15:28, 13 of 170, 7.6%
2012-05-17 20:15:33, 14 of 170, 8.2%
2012-05-17 20:15:48, 15 of 170, 8.8%
2012-05-17 20:15:50, 16 of 170, 9.4%
2012-05-17 20:16:07, 17 of 170, 10%
2012-05-17 20:16:09, 18 of 170, 10.6%
2012-05-17 20:16:27, 19 of 170, 11.2%
2012-05-17 20:16:29, 20 of 170, 11.8%
2012-05-17 20:16:47, 21 of 170, 12.4%
2012-05-17 20:16:49, 22 of 170, 12.9%
2012-05-17 20:17:08, 23 of 170, 13.5%
2012-05-17 20:17:08, 24 of 170, 14.1%
2012-05-17 20:17:26, 25 of 170, 14.7%
2012-05-17 20:17:27, 26 of 170, 15.3%
2012-05-17 20:17:45, 28 of 170, 16.5%
2012-05-17 20:17:46, 27 of 170, 15.9%
2012-05-17 20:18:04, 30 of 170, 17.6%
2012-05-17 20:18:06, 29 of 170, 17.1%
2012-05-17 20:18:22, 32 of 170, 18.8%
2012-05-17 20:18:27, 31 of 170, 18.2%
2012-05-17 20:18:40, 34 of 170, 20%
2012-05-17 20:18:47, 33 of 170, 19.4%
2012-05-17 20:18:59, 36 of 170, 21.2%
2012-05-17 20:19:06, 35 of 170, 20.6%
2012-05-17 20:19:18, 38 of 170, 22.4%
2012-05-17 20:19:25, 37 of 170, 21.8%
2012-05-17 20:19:35, 40 of 170, 23.5%
2012-05-17 20:19:46, 39 of 170, 22.9%
2012-05-17 20:19:55, 42 of 170, 24.7%
2012-05-17 20:20:04, 41 of 170, 24.1%
